Incident Number,Incident Date,Time Num,Street,Alt Street,City,County,Intersection,Mile Post,Accident Type,Collision Type,Hit and Run,fatal,EMSTransport,Involved Placarded Truck,Posted Speed,Total Vehicles Involved,Weather Code,pedestrian,bicycle,drug,etoh,Latitude,Longitude,Location WKT,Location,Light Condition,year,month,day,hour,day_of_week
19-005342,2019-01-16 14:55:00,15.0,700 Mccallie ave,,Chattanooga,Hamilton,Foster St,,4,0,1,0,1,0,25.0,1,0,1,0,0.0,0.0,35.0438652,-85.304042,POINT (-85.304042 35.0438652),"(35.0438652, -85.304042)",4,2019,1,16,14,2
19-008058,2019-01-24 19:01:00,19.0,Gunbarrel Rd,,Chattanooga,Hamilton,Igou Gap Rd,,1,0,0,0,1,0,45.0,1,0,1,0,0.0,0.0,35.010064,-85.241054,POINT (-85.241054 35.010064),"(35.010064, -85.241054)",1,2019,1,24,19,3
19-009918,2019-01-30 19:34:00,19.5,5500 Highway 58,SR-5500,Chattanooga,Hamilton,Hickory Valley Road,,0,0,0,1,0,0,45.0,1,0,1,0,1.0,0.0,35.106856,-85.150596,POINT (-85.150596 35.106856),"(35.106856, -85.150596)",1,2019,1,30,19,2
19-011274,2019-02-03 21:16:00,21.5,5245 Hwy 153,,Chattanooga,Hamilton,153,,5,0,0,0,1,0,45.0,1,0,1,0,0.0,0.0,35.126426,-85.242126,POINT (-85.242126 35.126426),"(35.126426, -85.242126)",1,2019,2,3,21,6
19-011406,2019-02-04 12:25:00,12.5,5500 Highway 153,US-5500,Chattanooga,Hamilton,Gadd Road,,4,0,0,0,1,0,,1,0,1,0,0.0,0.0,35.142401,-85.248276,POINT (-85.248276 35.142401),"(35.142401, -85.248276)",4,2019,2,4,12,0
19-011927,2019-02-05 19:50:00,20.0,2100 Chamberlain Ave,,Chattanooga,Hamilton,S Kelley St,,4,0,1,0,1,0,25.0,1,0,1,0,0.0,0.0,35.032637,-85.271267,POINT (-85.271267 35.032637),"(35.032637, -85.271267)",0,2019,2,5,19,1
19-013051,2019-02-08 19:05:00,19.0,5238 Highway 153,,Chattanooga,Hamilton,Northgate Mall Dr,,1,0,0,0,1,0,45.0,1,0,1,0,0.0,0.0,35.124937,-85.240093,POINT (-85.240093 35.124937),"(35.124937, -85.240093)",1,2019,2,8,19,4
19-015515,2019-02-15 19:25:00,19.5,495 Riverfront Pkwy,,Chattanooga,Hamilton,W Martin Luther King Blvd,,4,0,0,0,1,0,15.0,1,4,1,0,0.0,0.0,35.054018,-85.320627,POINT (-85.320627 35.054018),"(35.054018, -85.320627)",0,2019,2,15,19,4
19-018056,2019-02-23 23:04:00,23.0,2900 Hamill Rd,,Chattanooga,Hamilton,Greenway View Drive,,0,0,1,1,1,0,35.0,1,4,1,0,1.0,1.0,35.129734,-85.21994,POINT (-85.21994 35.129734),"(35.129734, -85.219940)",0,2019,2,23,23,5
19-018071,2019-02-24 01:25:00,1.5,3817 Hixson Pike,SR-3817,Chattanooga,Hamilton,Mauldeth,,1,0,0,0,1,0,40.0,1,4,1,0,0.0,0.0,35.110842,-85.270346,POINT (-85.270346 35.110842),"(35.110842, -85.270346)",1,2019,2,24,1,6
19-023407,2019-03-11 00:00:00,,Hwy 153,,Chattanooga,Hamilton,Hixson Pike,,1,0,1,0,1,0,40.0,1,4,1,0,,,35.1295098,-85.243935,POINT (-85.243935 35.1295098),"(35.1295098, -85.243935)",6,2019,3,11,0,0
19-023822,2019-03-13 08:32:00,8.5,31 Tunnel Blvd,,Chattanooga,Hamilton,Montview Drive,,5,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,35.027665,-85.248033,POINT (-85.248033 35.027665),"(35.027665, -85.248033)",4,2019,3,13,8,2
